index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654435,1431.0,3323.0,0.0,745.0,535.0,150.0,0.0,4.0,3.0,7.0,5.0,623.0,52.0,115.0,29.0,55.0,82.0,3080.0,45.0,0.0,1742.0,0.0,631.0,B03C,September,control,A week recovery
ERR2654526,1100.0,2142.0,0.0,679.0,384.0,96.0,0.0,0.0,0.0,4.0,46.0,333.0,46.0,70.0,18.0,31.0,26.0,1929.0,50.0,0.0,1070.0,0.0,519.0,E03B,September,control,At the end of the drought
ERR2654467,1138.0,2187.0,0.0,356.0,133.0,12.0,0.0,0.0,0.0,5.0,0.0,445.0,31.0,3.0,8.0,43.0,52.0,2833.0,32.0,0.0,1776.0,0.0,321.0,C03D,September,drought,2 months recovery
ERR2654578,738.0,1189.0,0.0,212.0,234.0,10.0,0.0,0.0,0.0,0.0,23.0,302.0,33.0,53.0,26.0,6.0,19.0,1533.0,43.0,0.0,642.0,0.0,305.0,G01C,September,control,A week recovery
ERR2654628,756.0,1639.0,2.0,452.0,212.0,26.0,0.0,0.0,2.0,4.0,16.0,257.0,40.0,26.0,12.0,12.0,24.0,1498.0,47.0,0.0,635.0,0.0,326.0,H08B,September,control,At the end of the drought
ERR2654552,443.0,1202.0,0.0,156.0,70.0,15.0,0.0,0.0,0.0,0.0,2.0,299.0,12.0,0.0,0.0,14.0,10.0,1692.0,3.0,0.0,691.0,0.0,151.0,F02C,September,drought,A week recovery
ERR2654562,1060.0,2321.0,0.0,292.0,203.0,6.0,0.0,5.0,0.0,0.0,9.0,399.0,39.0,12.0,9.0,31.0,15.0,1908.0,24.0,0.0,1113.0,0.0,314.0,F05C,September,drought,A week recovery
ERR2654403,630.0,1447.0,2.0,173.0,234.0,38.0,0.0,0.0,0.0,3.0,2.0,257.0,16.0,19.0,2.0,15.0,16.0,1324.0,33.0,0.0,711.0,0.0,266.0,A03B,September,control,At the end of the drought
ERR2654595,1742.0,2075.0,0.0,464.0,389.0,19.0,0.0,0.0,0.0,4.0,19.0,566.0,83.0,106.0,52.0,11.0,39.0,2867.0,78.0,2.0,1231.0,0.0,607.0,G06C,September,control,2 months recovery
ERR2654551,232.0,407.0,0.0,25.0,39.0,7.0,0.0,0.0,0.0,0.0,3.0,66.0,2.0,8.0,10.0,0.0,4.0,434.0,15.0,0.0,235.0,0.0,59.0,F02B,September,drought,At the end of the drought
ERR2654420,1315.0,3317.0,0.0,991.0,450.0,365.0,0.0,0.0,3.0,2.0,26.0,657.0,65.0,43.0,20.0,39.0,99.0,3846.0,58.0,0.0,1652.0,0.0,628.0,A08B,September,control,At the end of the drought
ERR2654407,1683.0,2995.0,4.0,800.0,268.0,88.0,2.0,3.0,2.0,2.0,26.0,872.0,87.0,37.0,13.0,89.0,79.0,4670.0,49.0,0.0,2061.0,0.0,541.0,A04C,September,drought,A week recovery
ERR2654464,1296.0,2394.0,0.0,475.0,406.0,98.0,0.0,0.0,0.0,0.0,0.0,412.0,40.0,65.0,27.0,14.0,34.0,2197.0,58.0,0.0,1160.0,0.0,540.0,C03A,September,control,Before drought
ERR2654563,1272.0,2529.0,0.0,569.0,529.0,89.0,0.0,0.0,2.0,3.0,10.0,642.0,41.0,28.0,51.0,14.0,42.0,2803.0,63.0,0.0,1197.0,0.0,590.0,F05D,September,control,2 months recovery
ERR2654558,1107.0,2052.0,0.0,319.0,282.0,2.0,0.0,0.0,0.0,4.0,17.0,334.0,23.0,48.0,23.0,6.0,29.0,2078.0,20.0,2.0,898.0,0.0,464.0,F04C,September,control,A week recovery
ERR2654427,540.0,1285.0,2.0,159.0,140.0,12.0,0.0,0.0,0.0,0.0,2.0,303.0,5.0,15.0,6.0,5.0,16.0,1547.0,23.0,0.0,694.0,0.0,227.0,B01C,September,drought,A week recovery
ERR2654553,1248.0,2374.0,0.0,678.0,397.0,12.0,0.0,0.0,0.0,0.0,63.0,624.0,39.0,30.0,33.0,14.0,46.0,2913.0,68.0,2.0,1425.0,0.0,558.0,F02D,September,control,2 months recovery
ERR2654473,698.0,1264.0,0.0,279.0,97.0,4.0,0.0,0.0,0.0,0.0,0.0,491.0,10.0,4.0,6.0,6.0,17.0,2397.0,19.0,0.0,1368.0,0.0,215.0,C05C,September,drought,A week recovery
ERR2654424,1410.0,1438.0,0.0,567.0,292.0,6.0,0.0,0.0,0.0,6.0,11.0,370.0,51.0,76.0,41.0,8.0,20.0,2173.0,68.0,0.0,975.0,0.0,387.0,A11C,September,control,A week recovery
ERR2654415,1908.0,2568.0,0.0,424.0,416.0,13.0,3.0,0.0,0.0,9.0,0.0,442.0,43.0,89.0,26.0,9.0,75.0,3046.0,59.0,0.0,1962.0,0.0,603.0,A06C,September,control,A week recovery
ERR2654586,1889.0,4055.0,0.0,689.0,509.0,43.0,3.0,0.0,5.0,6.0,3.0,642.0,61.0,22.0,19.0,52.0,101.0,3570.0,54.0,0.0,2841.0,0.0,752.0,G03D,September,drought,2 months recovery
ERR2654516,886.0,2560.0,46.0,933.0,132.0,124.0,0.0,18.0,0.0,2.0,3.0,686.0,41.0,2.0,8.0,259.0,54.0,3907.0,18.0,0.0,1353.0,0.0,347.0,D11C,September,drought,A week recovery
